2025-03-24 22:58:51,895 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51535, Dst Port: 443
2025-03-24 22:58:51,896 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51535, Dst Port: 443
2025-03-24 22:58:52,161 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:58:52,163 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:58:52,170 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:58:52,172 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:58:52,173 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51535, Dst Port: 443
2025-03-24 22:58:52,210 - Source: 192.168.0.108 -> Destination: 34.107.199.61 | TCP | Src Port: 51519, Dst Port: 443
2025-03-24 22:58:52,723 - Source: 192.168.0.108 -> Destination: 20.192.44.68 | TCP | Src Port: 50695, Dst Port: 443
2025-03-24 22:58:52,755 - Source: 20.192.44.68 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 50695
2025-03-24 22:58:53,596 - Source: 108.174.10.20 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51147
2025-03-24 22:58:53,650 - Source: 192.168.0.108 -> Destination: 108.174.10.20 | TCP | Src Port: 51147, Dst Port: 443
2025-03-24 22:58:54,333 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:58:54,392 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:58:57,110 - Source: 192.168.0.108 -> Destination: 140.82.114.25 | TCP | Src Port: 51467, Dst Port: 443
2025-03-24 22:58:57,409 - Source: 140.82.114.25 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51467
2025-03-24 22:58:57,774 - Source: 192.168.0.108 -> Destination: 192.168.1.1 | UDP | Src Port: 56893, Dst Port: 53
2025-03-24 22:58:57,792 - Source: 192.168.1.1 -> Destination: 192.168.0.108 | UDP | Src Port: 53, Dst Port: 56893
2025-03-24 22:58:57,794 - Source: 192.168.0.108 -> Destination: 142.250.192.36 | UDP | Src Port: 52557, Dst Port: 443
2025-03-24 22:58:57,796 - Source: 192.168.0.108 -> Destination: 142.250.192.36 | UDP | Src Port: 52557, Dst Port: 443
2025-03-24 22:58:57,797 - Source: 192.168.0.108 -> Destination: 142.250.192.36 | UDP | Src Port: 52557, Dst Port: 443
2025-03-24 22:58:57,830 - Source: 142.250.192.36 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 52557
2025-03-24 22:58:57,830 - Source: 142.250.192.36 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 52557
2025-03-24 22:59:23,089 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51535, Dst Port: 443
2025-03-24 22:59:23,090 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51535, Dst Port: 443
2025-03-24 22:59:23,350 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:59:23,351 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:59:23,352 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:59:23,358 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:59:23,359 - Source: 34.139.124.58 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51535
2025-03-24 22:59:23,360 - Source: 192.168.0.108 -> Destination: 34.139.124.58 | TCP | Src Port: 51535, Dst Port: 443
2025-03-24 22:59:23,590 - Source: 108.174.10.20 -> Destination: 192.168.0.108 | TCP | Src Port: 443, Dst Port: 51147
2025-03-24 22:59:23,631 - Source: 192.168.0.108 -> Destination: 108.174.10.20 | TCP | Src Port: 51147, Dst Port: 443
2025-03-24 22:59:27,176 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:27,202 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:27,384 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:27,442 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:27,645 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:27,704 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:27,910 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
2025-03-24 22:59:27,972 - Source: 142.250.71.106 -> Destination: 192.168.0.108 | UDP | Src Port: 443, Dst Port: 55009
2025-03-24 22:59:28,155 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,157 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,158 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,159 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,160 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,161 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,163 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,164 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,166 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,167 - Source: 192.168.0.1 -> Destination: 239.255.255.250 | UDP | Src Port: 54091, Dst Port: 1900
2025-03-24 22:59:28,181 - Source: 192.168.0.108 -> Destination: 142.250.71.106 | UDP | Src Port: 55009, Dst Port: 443
